CARDINALITY,TIME TAKEN,MODE,GUESS COUNT, MINES ATTACKED COUNT, SOLUTION FOUND, NO SOLUTION FOUND, AMBIGUOUS SOLUTION FOUND
5,969,NAIIVE,1,0,5,0,3
10,297,NAIIVE,30,11,18,29,3
15,656,NAIIVE,100,54,28,99,8
20,766,NAIIVE,171,87,81,170,8
5,874,NAIIVE,0,0,5,0,0
10,266,NAIIVE,12,1,26,10,21
15,625,NAIIVE,56,25,54,54,24
20,1062,NAIIVE,138,70,74,136,29
25,4672,NAIIVE,635,459,84,633,32
5,63,MEDIUM,655,474,89,653,34
10,78,MEDIUM,671,482,111,669,37
5,843,NAIIVE,0,0,0,0,0
10,313,NAIIVE,12,4,21,12,3
15,484,NAIIVE,62,37,49,62,5
20,1411,NAIIVE,275,211,55,274,29
25,1765,NAIIVE,422,312,136,420,54
5,79,MEDIUM,423,312,148,420,75
10,188,MEDIUM,470,345,158,467,77
15,688,MEDIUM,635,464,178,632,82
20,2859,MEDIUM,1119,819,183,1116,84
25,52303,MEDIUM,1909,1453,206,1901,216
5,78,EXPERT,1931,1465,212,1918,279
10,94,EXPERT,1992,1514,226,1979,281
5,844,NAIIVE,0,0,0,0,0
10,329,NAIIVE,17,7,13,17,0
15,766,NAIIVE,98,73,38,95,34
20,765,NAIIVE,168,117,99,165,41
25,1844,NAIIVE,409,289,167,406,44
5,157,MEDIUM,415,292,172,412,46
10,344,MEDIUM,488,342,181,485,46
15,563,MEDIUM,553,386,220,550,49
20,1375,MEDIUM,774,527,252,771,57
5,1031,NAIIVE,5,3,6,5,8
10,297,NAIIVE,21,9,21,21,8
15,688,NAIIVE,103,61,25,103,10
20,1000,NAIIVE,203,131,96,203,12
25,1781,NAIIVE,376,269,171,376,14
5,63,MEDIUM,376,269,179,376,14
10,156,MEDIUM,436,317,182,435,31
15,703,MEDIUM,561,404,196,560,34
5,1233,NAIIVE,1,0,5,0,3
10,250,NAIIVE,5,2,18,4,3
15,812,NAIIVE,99,77,25,98,5
5,1719,NAIIVE,0,0,7,0,0
10,391,NAIIVE,41,33,7,41,0
15,953,NAIIVE,130,92,7,130,0
20,1938,NAIIVE,327,229,7,327,0
25,3296,NAIIVE,601,414,7,601,0
5,172,MEDIUM,601,414,12,601,0
10,594,MEDIUM,699,477,12,699,0
